Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISSN,Revista,Año,Volumen,Fasciculo,Página inicial,Página final,Palabras,Area,Sectores
NATURATU,Optical absorption measurements and optoelectronic DFT calculations for ethanol solvated quercetin and anhydrous/hydrated quercetin crystals, Publicado en revista especializada, JUAN PABLO ECHEVERRY ENCISO,, Journal of Solid State Chemistry ,10.1016/j.jssc.2022.123242, 0022-4596, Journal of Solid State Chemistry , 2022,312 ,N/A , 10 , 27,,,
NATURATU,A Multichannel Superconductor-Based Photonic Crystal Optical Filter Tunable in the Visible and Telecom Windows at Cryogenic Temperature, Publicado en revista especializada, LUZ ESTHER GONZALEZ REYES,Suiza, Photonics ,10.3390/photonics9070485, 2304-6732, Photonics , 2022,9 , , 485 , 13,,,
NATURATU,Synthesis multicomponent based on o‐tolyl‐isocyanide; cholinesterase inhibitors and computational studies, Publicado en revista especializada, EDISON HUMBERTO OSORIO LOPEZ,Países Bajos, Journal of Molecular Structure ,10.1016/j.molstruc.2022.133307, 0022-2860, Journal of Molecular Structure , 2022,15 , , 133307 , 133307-10,,,
NATURATU,"Microsatellites, morphological, and alkaloids characterization of Zephyranthes fosteri and Z. alba (Amaryllidaceae): Allopatric populations", Publicado en revista especializada, NATALIE CHARLOTTE CORTES RENDON,, BIOCHEMICAL SYSTEMATICS AND ECOLOGY ,10.1016/j.bse.2022.104398, 1873-2925, BIOCHEMICAL SYSTEMATICS AND ECOLOGY , 2022,101 , ,  , ,,,
NATURATU,"Crystal structure, Hirshfeld surface analysis and DFT studies of N-(4-acetylphenyl)quinoline-3-carboxamide", Publicado en revista especializada, EDISON HUMBERTO OSORIO LOPEZ,Países Bajos, Journal of Molecular Structure ,10.1016/j.molstruc.2021.131162, 0022-2860, Journal of Molecular Structure , 2021,1246 , , 131162,1 - 131162-6,,,
NATURATU,"Coffee plantation soil characterization using a multi-method approach near the volcano Nevado del Ruiz, Colombian Central Cordillera", Publicado en revista especializada, BLANCA MYRIAM SALGUERO LONDONO,Colombia, Earth Sciences Research Journal ,10.15446/esrj.v25n3.79170, 2339-3459, Earth Sciences Research Journal , 2021,25 ,NA , 263 , 273,,,
NATURATU,"Caracterización florística de la Reserva Natural de la Sociedad Civil Covadonga, Cundinamarca, Colombia", Publicado en revista especializada," KAREN TATIANA MARIN MORENO, MICHEL ESTEFAN AGUDELO, ALFREDO JOSE TORRES BENITEZ",Colombia, Boletin Cientifico del Centro de Museos ,10.17151/bccm.2021.25.2.1, 0123-3068, Boletin Cientifico del Centro de Museos , 2021,25 ,2 , 13 , 29,,,
NATURATU,REPORT ON THE PREDATION OF PALE-BREASTED THRUSH EGGS BY THE ARIEL TOUCAN IN BRAZIL: FAILURE OF THE ANTI-PREDATORY STRATEGY., Publicado en revista especializada, YAIR GUILLERMO MOLINA MARTÌNEZ,Colombia, Acta Biologica Colombiana ,10.15446/abc.v26n2.86700, 1900-1649, Acta Biologica Colombiana , 2021,26 ,2 , 278 , 282,,,
NATURATU,"Reply to 'Comment on ""Two blocks connected by a string with variable tension: a dynamic case""", Publicado en revista especializada, HERNAN JAVIER HERRERA SUAREZ,Reino Unido, Physics Education ,10.1088/1361-6552/abd10c, 0031-9120, Physics Education , 2021,56 ,2 , 028003 , 028009,,,
NATURATU,"Systematic review on the biology, ecology, genetic diversity and parasite transmission potential of Panstrongylus geniculatus (Latreille 1811) in Latin America", Revisión (Survey)," RICARDO JOSE VIVAS MEDINA, JORGE ENRIQUE GARCIA MELO, FELIPE GUHL NANNETTI, DIANA CAROLINA HERNANDEZ CASTRO, NATALIA VELASQUEZ ORTIZ, JUAN DAVID RAMIREZ GONZALEZ, JULIO CESAR CARRANZA MARTINEZ, GUSTAVO ADOLFO VALLEJO",Brasil, Memorias do Instituto Oswaldo Cruz ,10.1590/0074-02760200528, 0074-0276, Memorias do Instituto Oswaldo Cruz , 2021,116 ,NA , 1 , 18,,,
NATURATU,Population ecology of the spectacled caiman (Caiman crocodilus) in the Apaporis River middle basin, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Ecosphere ,10.1002/ecs2.3532, 2150-8925, Ecosphere , 2021,12 ,5 , 1 , 15,,,
NATURATU,From the river to the ocean: mitochondrial DNA analyses provide evidence of spectacled caimans (Caiman crocodilus Linnaeus 1758) mainland-insular dispersal, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Biological Journal of the Linnean Society ,10.1093/biolinnean/blab094, 1095-8312, Biological Journal of the Linnean Society , 2021,134 ,2 , 486 , 497,,,
NATURATU,"Molecular characterization of the spectacled caiman (Caiman crocodilus) in the upper Magdalena River basin, Colombia: Demographic and phylogeographic insights.", Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Systematics and Biodiversity ,10.1080/14772000.2021.1968975, 1478-0933, Systematics and Biodiversity , 2021,19 ,8 , 1040 , 1048,,,
NATURATU,Structure¿antioxidant activity relationships in boldine and glaucine: a DFT study, Publicado en revista especializada," EDISON HUMBERTO OSORIO LOPEZ, OLIMPO JOSE GARCIA BELTRAN, LINA MARIA RUIZ HINCAPIE, OSVALDO YANEZ, WILLIAM TIZNADO, CARLOS ARECHE",Reino Unido, New Journal of Chemistry ,10.1039/d0nj04028b, 1144-0546, New Journal of Chemistry , 2021,45 , , 590 , 596,,,
NATURATU,Deciphering the diet of a wandering spider (Phoneutria boliviensis; Araneae: Ctenidae) by DNA metabarcoding of gut contents, Publicado en revista especializada," LIDA MARCELA FRANCO PEREZ, DIEGO SIERRA RAMIREZ, CARLOS PRADA QUIROGA, JUAN CARLOS VALENZUELA ROJAS, JULIO CESAR GONZALEZ GOMEZ, GIOVANY GUEVARA CARDONA",Inglaterra, Ecology and Evolution ,10.1002/ece3.7320, 2045-7758, Ecology and Evolution , 2021,11 ,11 , 5950 , 5965,,,
NATURATU,Reply to 'Comment on ¿Two blocks connected by a string with variable tension: a dynamic case¿ ', Publicado en revista especializada," HERNAN JAVIER HERRERA SUAREZ, MAXIMILIANO MACHADO HIGUERA, JOSE HERMAN MUNOZ NUNGO",Reino Unido, Physics Education ,10.1088/1361-6552/abd10c, 0031-9120, Physics Education , 2021,56 ,2 , 1 , 3,,,
NATURATU,Species delimitation reveals an underestimated diversity of Andean catfishes of the family Astroblepidae (Teleostei: Siluriformes), Publicado en revista especializada," LUZ ENEIDA OCHOA ORREGO, JORGE ENRIQUE GARCIA MELO, JAVIER MALDONADO OCAMPO, JUAN GABRIEL ALBORNOZ GARZON, FRANCISCO ANTONIO VILLA NAVARRO, ARMANDO ORTEGA LARA",Brasil, NEOTROPICAL ICHTHYOLOGY ,10.1590/1982-0224-2020-0048, 1982-0224, NEOTROPICAL ICHTHYOLOGY , 2020,18 ,4 , 1 , 19,,,
NATURATU,"Distribution and habitat use intensity of the Neotropical Otter (Lontra longicaudis Olfers, 1818) in a Colombian hydroelectric dam", Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Revista de Biologia Tropical ,10.15517/RBT.V68IS2.44348, 2215-2075, Revista de Biologia Tropical , 2020,68 ,S2 , 177 , 189,,,
NATURATU,Improving the ferromagnetic exchange coupling in hard τ-Mn53.3Al45.0C1.7 and soft Mn50B50 magnetic alloys, Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,Alemania, Applied Physics A-Materials Science '&' Processing ,10.1007/s00339-020-04025-z, 0947-8396, Applied Physics A-Materials Science '&' Processing , 2020,126 ,N/A , 1 , 10,,,
NATURATU,Theoretical and experimental study of FeSi on magnetic and phase properties, Publicado en revista especializada," JEFERSON  FERNANDO PIAMBA JIMENEZ, INES CAROLINA ORTEGA PORTILLA, RAIZA OJALIJU HERNANDEZ BRAVO, J M GONZALEZ, JESUS ANSELMO TABARES, GERMAN ANTONIO PEREZ ALCAZAR, JUAN MANUEL ALVARADO",, Applied Physics A-Materials Science '&' Processing ,10.1007/s00339-020-04038-8, 1432-0630, Applied Physics A-Materials Science '&' Processing , 2020,126 , ,  , ,,,
NATURATU,Distribution and habitat use intensity of the neotropical otter (Lontra longicaudis) in a Colombian hydroelectric dam, Publicado en revista especializada," LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA, SERGIO ALEJANDRO BALAGUERA REINA",Costa Rica, Revista de Biologia Tropical ,10.15517/RBT.V68IS2.44348, 0034-7744, Revista de Biologia Tropical , 2020,68 ,2 , 177 , 189,,,
NATURATU,Tracking a voyager: mitochondrial DNA analyses reveal mainland-insular dispersal of an American crocodile (Crocodylus acutus) across the Caribbean, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Biological Journal of the Linnean Society ,10.1093/biolinnean/blaa096, 1095-8312, Biological Journal of the Linnean Society , 2020,131 ,1 , 163 , 171,,,
NATURATU,Individual identification patterns as a monitoring strategy for American crocodiles: Tayrona National Natural Park as a study case, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Amphibia - Reptilia ,10.1163/15685381-bja10033, 1568-5381, Amphibia - Reptilia , 2020,41 ,4 , 1 , 8,,,
