Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,Libro,DOI,ISBN,Año,Volumen,Página inicial,Página final,Palabras,Area,Sectores
NATURATU,Humanidades y posacuerdo. Una reflexión del Área Sociohumanística de la Universidad de Ibagué, Capítulo de libro ," RICHARD CLAYTON DOUGHMAN III, SANDRA GUTIERREZ ABELLA, PATRICIA COBA GUTIERREZ",Colombia, Departamento Publicaciones Universidad Santo Tomas, Concepciones del profesorado sobre la enseñanza de las humanidades en la educación superior,, 978-958-782-512-1, 2022,. ,281 , 303,,,
NATURATU,Dinámica de calidad atmosférica en la cuenca del río Combeima (Colombia) y su relación con la comunidad de líquenes cortícolas, Capítulo de libro ," MIGUEL MORENO, ALFREDO JOSE TORRES BENITEZ",Perú, Asociación Proyectos Ecológicos Perú, Trabajos científicos del V Congreso Nacional de Liquenología del Perú ¿Líquenes en Montañas y Nevados¿,, 978-612-47537-4-9, 2021,. ,39 , 49,,,
NATURATU,PECES DEL SITIO RAMSAR ESTRELLA FLUVIAL INÍRIDA, Capítulo de libro ," FRANCISCO ANTONIO VILLA NAVARRO, CARLOS LUIS DONASCIMIENTO MONTOYA, JUAN GABRIEL ALBORNOZ GARZON, MARCELA FRANCO, DONALD CHARLES TAPHORN BAECHLE, ALEJANDRO MENDEZ LOPEZ, JORGE ENRIQUE GARCIA MELO, EDWIN AGUDELO CORDOBA",Colombia, WWF Colombia,  Plan de Manejo Ambiental del sitio Ramsar Estrella Fluvial Inírida: avances en el conocimiento,, -978-958-59535-4-3, 2021,. ,68 , 81,,,
NATURATU,El estado del derecho humano a la alimentación y nutrición adecuadas de la población migrante venezolana en Colombia, Otro capítulo de libro publicado , RICHARD CLAYTON DOUGHMAN III,Colombia, FIAN Colombia, UN PAÍS QUE SE HUNDE EN EL HAMBRE Cuarto informe sobre la situación del derecho humano a la alimentación y nutrición adecuadas en Colombia / 2021,, 9789585892996, 2021,. ,283 , 308,,,
NATURATU,"Evaluación de la calidad atmosférica en zonas verdes y de tráfico vehicular de la ciudad de Ibagué (Tolima, Colombia) mediante el estudio de líquenes corticícolas", Capítulo de libro ," MIGUEL MORENO, ALFREDO JOSE TORRES BENITEZ",Perú, Asociación Proyectos Ecológicos Perú, Trabajos científicos del IV Congreso Nacional de Liquenología del Perú y I Congreso Nacional de Lomas,, 978-612-47537-2-5, 2021,. ,220 , 229,,,
NATURATU,"Diversidad de peces de la cuenca del río Magdalena, Colombia", Capítulo de libro ," CARLOS GARCIA ALZATE, CARLOS LUIS DONASCIMIENTO MONTOYA, FRANCISCO ANTONIO VILLA NAVARRO, JORGE ENRIQUE GARCIA MELO, GUIDO ALBERTO HERRERA RODRIGUEZ",Colombia, Instituto de Investigación de Recursos Biológicos Alexander von Humboldt, Peces de la cuenca del río Magdalena,, 978-958-5183-04-9, 2020,. ,85 , 113,,,
NATURATU,"Peces de la Reserva Natural Bojonawi (Escudo Guayanés), río Orinoco y planicie inundable, Vichada, Colombia", Capítulo de libro ," CARLOS ANDRES LASSO ALCALA, MONICA ANDREA MORALES BETANCOURT, MAGDA SUSANA BERNAL SIERRA, ALEJANDRO MENDEZ LOPEZ, EDWIN ORLANDO LOPEZ DELGADO, JORGE ENRIQUE GARCIA MELO",Colombia, Instituto de Investigación de Recursos Biológicos Alexander von Humboldt, BIODIVERSIDAD DE LA RESERVA NATURAL BOJONAWI,, 978-958-5183-02-5, 2020,. ,191 , 236,,,
NATURATU,Vida de ecosistemas terrestres. ods-15, Otro capítulo de libro publicado ," GIOVANY GUEVARA CARDONA, LIDA MARCELA FRANCO PEREZ",Colombia, Empresa Editorial Universidad Nacional De Colombia, Objetivos de Desarrollo Sostenible (ods) y políticas públicas: una mirada desde la academia,, 978-958-794-279-8, 2020,. ,298 , 311,,,
NATURATU,Segmentation Techniques, Otro capítulo de libro publicado ," MANUEL GUILLERMO FORERO VARGAS, CARLOS ANTONIO JACANAMEJOY JAMIOY",Alemania, Springer-Verlag Berlin/Heidelberg, Modern Trends in Diatom Identification,, 978-3-030-39212-3, 2020,. ,135 , 149,,,
NATURATU,Un paso a paso para el rediseño de cursos desde las técnicas de aprendizaje colaborativo, Capítulo de libro , BLANCA MYRIAM SALGUERO LONDONO,Colombia, Ediciones Uniandes, Experiencias,, 9789587749168, 2020,. ,126 , 144,,,
