Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISBN,Año,Palabras,Area,Sectores
NATURATU,"Ibagué, entre alas, colores y cantos: Guía de las aves más buscadas", Libro resultado de investigación ," YAIR GUILLERMO MOLINA MARTÌNEZ, MIGUEL CESAR MORENO PALACIOS",Colombia, Ediciones Unibagué,," 978-958-754-359-9,",2021,,,
NATURATU,Aportes a la formación integral desde la formación sociohumanística, Libro resultado de investigación ," RICHARD CLAYTON DOUGHMAN III, SANDRA GUTIERREZ ABELLA, EDGAR DELGADO RUBIO, PATRICIA COBA GUTIERREZ, NIDIA CHAPARRO CUERVO",Colombia, Ediciones Unibagué,," 978-958-754-356-8,",2020,,,
NATURATU,"Amoyá, río y quebrada ancestral", Libro resultado de investigación ," GLADYS REINOSO FLORES, FRANCISCO ANTONIO VILLA NAVARRO, GIOVANY GUEVARA CARDONA, SERGIO LOSADA PRADO, JORGE ENRIQUE GARCIA MELO",Colombia, Universidad del Tolima,," 978-958-5569-0,",2019,,,
NATURATU,Ibagué Imaginada, Libro resultado de investigación , YORLADYS MAYILSEN MARTINEZ AROCA,Colombia, Ediciones Unibague,,"  978-958-754-325-4,",2019,,,
NATURATU,"Conservando el Caimán aguja: Plan para su conservación, manejo y uso sostenible en el sector nororiental del departamento del Magdalena", Libro resultado de investigación ," SERGIO ALEJANDRO BALAGUERA REINA, BETTY LORENA CARVAJAL BONILLA, NIDIA FARFAN ARDILA",Colombia, Universidad de Ibagué,," 978-958-754-319-3,",2019,,,
NATURATU,Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera, Libro resultado de investigación ," LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA, JORGE ENRIQUE GARCIA MELO",Colombia, Editorial Universidad De Ibague Coruniversitaria,," 9789587541571,",2015,,,
NATURATU,Geometria de uso en arquitectura segunda edicion, Libro resultado de investigación , CARLOS EDUARDO BELTRAN REYES,Colombia, Universidad de Ibagué,," 1794-1997,",2011,,,
D+TEC - Desarrollo Tecnológico,Dinámica Y Control De Procesos Químicos, Libro resultado de investigación ," JOSE ALDEMAR MUNOZ HERNANDEZ, LUIS ALFONSO MUNOZ HERNANDEZ",Colombia, Universidad de Ibagué,," 978-958-8747-81-1,",2015,,,
D+TEC - Desarrollo Tecnológico,CONTROL AUTOMATICO I: estrategias de control clásico, Libro resultado de investigación ," JOSE ALDEMAR MUNOZ HERNANDEZ, LUIS ALFONSO MUNOZ HERNANDEZ",Colombia, Universidad Del Tolima Ingenieria Agroindustrial,," 978-958-8747-70-5,",2015,,,
D+TEC - Desarrollo Tecnológico,Tolimenses Por Los Valores - Jesus Antonio Bejarano, Libro resultado de investigación ," LUIS ALFONSO MUNOZ HERNANDEZ, JOSE ALDEMAR MUNOZ HERNANDEZ",Colombia, El Poira Editores,," 9789588028361,",2005,,,
D+TEC - Desarrollo Tecnológico,Global Stabilization Of A Nonlinear Chemical Process By Linear Feedback, Libro resultado de investigación , JOSE ALDEMAR MUNOZ HERNANDEZ,Bélgica, Universidad de Ibagué,," 9056825569,",2005,,,
D+TEC - Desarrollo Tecnológico,Data Assimilation For Magnetohydrodynamics Systems Using Kalman Filtering, Libro resultado de investigación , OSCAR BARRERO MENDOZA,Bélgica, Katholieke Universiteit Leuven,," 9056826158,",2005,,,
D+TEC - Desarrollo Tecnológico,"Fuzzy Logic, Identification And Predictive Control", Libro resultado de investigación ," JAIRO JOSE ESPINOSA OVIEDO, JOOS VANDEWALLE, VINCENT WERTZ",Inglaterra, Springer-Verlag GmbH and Co. KG,," 1852338288,",2004,,,
D+TEC - Desarrollo Tecnológico,Sistemas De Identificacion, Libro resultado de investigación ," ANA ISABEL GUTIERREZ COLMENARES, JAN BRIERS",Colombia, El Poira,," 9588028388,",2003,,,
D+TEC - Desarrollo Tecnológico,Matemáticas avanzadas para Control, Libro resultado de investigación , JOSE ALDEMAR MUNOZ HERNANDEZ,Colombia,,," ,",2001,,,
D+TEC - Desarrollo Tecnológico,Consideraciones estocasticas en el Diseño de Elementos de Máquinas, Libro resultado de investigación , IVAN DARIO RAMIREZ RIVAS,Colombia,,," ,",1998,,,
